"stimulus","Id_flow","lizard_id","clutch","sex","temp","cort","age_trial","age_euthanasia","trial","prey","t_D","motivation","region","mean_mitodensity","mean_potential","mean_ros","mean_size","mean_dnadamage","mean_peroxidation","mean_conpotential","mean_conros"
"Chemical",37,2341,"CL632_23","Female","Cold","Control",-0.398458663204507,-0.408010170654578,1,"Unknown",0.987715258541852,1,"OB",0.286835148592748,0.132987727367966,0.21178894980993,-0.165795931911215,-0.457354031113971,-0.622825954852294,-0.000992837867063601,0.0723993649608239
"Chemical",37,2341,"CL632_23","Female","Cold","Control",-0.398458663204507,-0.408010170654578,3,"Familiar",0.182414851882939,1,"OB",0.286835148592748,0.132987727367966,0.21178894980993,-0.165795931911215,-0.457354031113971,-0.622825954852294,-0.000992837867063601,0.0723993649608239
"Chemical",38,2191,"CL592_22","Male","Hot","Control",0.132819554401502,0.115854739815497,1,"Familiar",0.148437625018888,1,"OB",-0.283862141149051,-0.322117169347243,-0.184967080868436,-0.0972190568791239,-0.43622537886555,-0.252603645610699,-0.28749841879656,0.0593931424741351
"Chemical",38,2191,"CL592_22","Male","Hot","Control",0.132819554401502,0.115854739815497,2,"Unknown",0.787286443880933,1,"OB",-0.283862141149051,-0.322117169347243,-0.184967080868436,-0.0972190568791239,-0.43622537886555,-0.252603645610699,-0.28749841879656,0.0593931424741351
"Chemical",39,2382,"CL642_23","Male","Cold","CORT",-0.500627551205662,-0.508753422668054,2,"Familiar",-0.628890750844138,1,"OB",0.467286712307096,0.251929528977455,0.563391301950606,0.129135142324068,-0.740999421710647,-0.543972419985532,0.0338668740458564,0.553476492898414
"Chemical",39,2382,"CL642_23","Male","Cold","CORT",-0.500627551205662,-0.508753422668054,4,"Unknown",0.360349433993996,1,"OB",0.467286712307096,0.251929528977455,0.563391301950606,0.129135142324068,-0.740999421710647,-0.543972419985532,0.0338668740458564,0.553476492898414
"Chemical",4,2412,"CL652_23","Male","Hot","Control",-0.255422220002889,-0.327415569043797,1,"Familiar",-0.211037718698379,1,"OB",-0.408647690355562,-0.537378468870863,-0.344145869806182,-0.350503090712628,0.46446920496991,-0.383540115342226,-0.59743840331248,-0.129663046296401
"Chemical",4,2412,"CL652_23","Male","Hot","Control",-0.255422220002889,-0.327415569043797,3,"Unknown",-0.439562961057094,1,"OB",-0.408647690355562,-0.537378468870863,-0.344145869806182,-0.350503090712628,0.46446920496991,-0.383540115342226,-0.59743840331248,-0.129663046296401
"Chemical",40,2366,"CL637_23","Female","Hot","CORT",-0.112385776801271,-0.125929065016845,3,"Unknown",0.448792834056501,1,"OB",0.476526705802434,0.272654209189939,0.505331893315385,0.073304040491212,-0.503294521319208,-0.487202552883548,0.0601757142725892,0.416837515224665
"Chemical",40,2366,"CL637_23","Female","Hot","CORT",-0.112385776801271,-0.125929065016845,4,"Familiar",0.379341073993724,1,"OB",0.476526705802434,0.272654209189939,0.505331893315385,0.073304040491212,-0.503294521319208,-0.487202552883548,0.0601757142725892,0.416837515224665
"Chemical",41,2317,"CL625_23","Female","Cold","Control",-0.296289775203351,-0.307266918641102,2,"Familiar",0.628458645621487,1,"OB",0.470779459861443,0.289969069601452,0.507497176836215,0.10807789472055,0.815878870777572,0.548559828852925,0.0946403625046423,0.430126398504616
"Chemical",41,2317,"CL625_23","Female","Cold","Control",-0.296289775203351,-0.307266918641102,3,"Unknown",0.189810067669107,1,"OB",0.470779459861443,0.289969069601452,0.507497176836215,0.10807789472055,0.815878870777572,0.548559828852925,0.0946403625046423,0.430126398504616
"Chemical",42,2117,"CL572_22","Female","Hot","CORT",0.214554664802427,0.196449341426278,2,"Unknown",-0.425223836430658,1,"OB",0.356138668820265,0.137526411094982,0.295243899274447,-0.11656053812745,0.94957858711437,0.666721085289697,-0.058149214951618,0.149969535446322
"Chemical",42,2117,"CL572_22","Female","Hot","CORT",0.214554664802427,0.196449341426278,4,"Familiar",-0.117706884380775,1,"OB",0.356138668820265,0.137526411094982,0.295243899274447,-0.11656053812745,0.94957858711437,0.666721085289697,-0.058149214951618,0.149969535446322
"Chemical",43,2229,"CL600_22","Male","Hot","Control",0.0715182216008089,0.0554087886074118,2,"Familiar",0.379341073993724,0,"OB",0.369720653549983,0.135521849002183,0.419084822858779,-0.113443022216072,0.860745507743169,0.593606658851894,-0.0741298169394932,0.396453664946707
"Chemical",43,2229,"CL600_22","Male","Hot","Control",0.0715182216008089,0.0554087886074118,4,"Unknown",0.427132973576761,1,"OB",0.369720653549983,0.135521849002183,0.419084822858779,-0.113443022216072,0.860745507743169,0.593606658851894,-0.0741298169394932,0.396453664946707
"Chemical",44,1167,"CL312_22","Male","Cold","CORT",1.35884621041537,1.32477376397721,1,"Unknown",0.327320846259742,1,"OB",0.405877198063023,0.198682224077575,0.429539144608273,-0.0597031141655983,0.803648241089912,0.175875070353859,0.000523099445488557,0.363377063275705
"Chemical",44,1167,"CL312_22","Male","Cold","CORT",1.35884621041537,1.32477376397721,3,"Familiar",0.574894329558605,1,"OB",0.405877198063023,0.198682224077575,0.429539144608273,-0.0597031141655983,0.803648241089912,0.175875070353859,0.000523099445488557,0.363377063275705
"Chemical",45,2363,"CL637_23","Male","Cold","CORT",-0.500627551205662,-0.488604772265359,3,"Familiar",0.268191421384989,1,"OB",0.251250839215844,0.00103719304930992,0.232224576303287,-0.267777413664276,1.08214313368638,0.514381089907397,-0.199151425208331,0.171420883785368
"Chemical",45,2363,"CL637_23","Male","Cold","CORT",-0.500627551205662,-0.488604772265359,4,"Unknown",0.593928861038379,1,"OB",0.251250839215844,0.00103719304930992,0.232224576303287,-0.267777413664276,1.08214313368638,0.514381089907397,-0.199151425208331,0.171420883785368
"Chemical",46,2177,"CL588_22","Male","Cold","Control",-0.214554664802427,-0.206523666627626,1,"Unknown",0.270137463899386,1,"OB",0.0985805906427148,-0.107455459600597,0.156272870331639,-0.709251434315313,0.462437848813452,0.585481818547742,-0.251894657470495,0.240385545510185
"Chemical",46,2177,"CL588_22","Male","Cold","Control",-0.214554664802427,-0.206523666627626,4,"Familiar",0.0788636315979448,1,"OB",0.0985805906427148,-0.107455459600597,0.156272870331639,-0.709251434315313,0.462437848813452,0.585481818547742,-0.251894657470495,0.240385545510185
