plate,Id_flow,region,tube_no,n_sampled_cells,mean_autofluo,mean_mitodensity,mean_nucl,mean_size,mean_potential,mean_ros,mean_complexity
3,30,OB,1,2404,3.016060668,3.567483982,2.615040112,3.700591642,3.729675707,3.351191498,3.479345792
3,30,OB,2,2569,2.974304809,2.031385059,2.662230969,3.663077283,2.199454204,2.476574556,3.426593766
3,31,OB,1,1092,2.895070113,3.861113744,2.607870107,3.830798683,3.940727719,4.023673291,3.629242059
3,31,OB,2,1022,2.948264477,3.175294376,2.614746055,3.825855197,3.453911735,3.723745526,3.583266082
3,32,OB,1,314,2.71511375,1.845313849,2.685607208,3.398122031,2.059638534,2.48999254,3.223374188
3,32,OB,2,321,2.657285453,3.517696632,2.987531349,4.025529831,3.971718418,3.700567655,3.666160581
4,33,OB,1,771,2.674398088,3.406867374,2.825563355,3.486713816,3.543036805,3.745700098,3.419903713
4,33,OB,2,763,2.716798801,3.440164703,2.800373319,3.461771517,3.536590247,3.729661786,3.410321953
4,34,OB,1,3656,3.048702938,1.911889067,2.724131578,3.931939691,2.321060739,2.776740233,3.730053693
4,34,OB,2,3370,2.992405792,3.833755148,2.655905589,3.983431824,3.707903784,4.129817787,3.797568099
4,35,OB,1,2038,2.897023574,3.919937477,2.682592651,3.952433492,3.765160847,4.094510935,3.794848919
4,35,OB,2,2150,2.938363762,3.792417203,2.694917802,3.919168309,3.701587879,4.062890579,3.747998083
4,36,OB,1,2190,2.937638666,4.260635008,2.661060129,4.126461304,4.035472736,4.44915396,4.065290647
4,36,OB,2,1787,2.971422559,3.996393608,2.676796503,4.083794647,3.924161182,4.382988555,3.970980165
4,37,OB,1,686,2.792513231,3.749307137,2.635826562,3.952416654,3.714038227,3.892527107,3.893800923
4,37,OB,2,1134,3.005296415,3.609839345,2.543113999,3.822349208,3.612046808,3.977951004,3.802151377
4,38,OB,1,2930,3.033615605,3.804015711,2.719371901,3.977074187,3.796261235,4.215691073,3.836546796
4,38,OB,2,5044,3.055638388,1.981127846,2.75464959,3.898740191,2.249308629,2.703137744,3.727874645
4,39,OB,1,798,3.133487198,4.08001208,2.596087767,4.155736825,3.926263998,4.414791187,3.977280831
4,39,OB,2,1265,3.162792104,3.840229061,2.62654169,4.053612085,3.734484062,4.299031711,3.84654019
4,40,OB,1,4330,3.06140298,4.028034439,2.691961834,4.092782415,3.908023517,4.313835082,3.923005425
4,40,OB,2,4390,3.045347909,3.921826108,2.672657454,4.034298967,3.811036962,4.260727941,3.872041471
4,41,OB,1,3068,3.103794372,3.963376294,2.708936087,4.088883617,3.883655147,4.295252949,3.912090477
4,41,OB,2,2727,3.086575033,3.968050699,2.69777854,4.089437288,3.884123642,4.28450367,3.911037275
4,42,OB,1,1568,2.833458442,3.797196987,2.67707665,3.978445047,3.731880386,4.06724341,3.907883768
4,42,OB,2,1876,2.75011248,3.773586259,2.654430782,3.86886952,3.606975009,4.003407698,3.838460584
4,43,OB,1,1561,2.979772134,3.782703152,2.657156883,3.92051271,3.644669329,4.178781052,3.782151859
4,43,OB,2,1276,2.996473726,3.830113789,2.672316596,3.931395539,3.688545889,4.188911861,3.804533835
4,44,OB,1,2579,3.013578856,3.936630092,2.705182848,4.03271145,3.812850993,4.265060977,3.899804405
4,44,OB,2,4594,2.902387925,3.788986615,2.679200681,3.898382938,3.698076702,4.127707416,3.768406559
5,45,OB,1,1059,2.600954191,3.688959358,2.745675411,3.76236425,3.495779665,3.923884228,3.689171091
5,45,OB,2,1520,2.814221022,3.563345881,2.687429839,3.862131169,3.459040059,3.995610276,3.773580267
5,46,OB,1,3042,2.555269234,3.378423123,2.780673506,3.457234457,3.315076225,3.867348262,3.425185715
5,46,OB,2,3534,2.541517043,3.429162146,2.778503329,3.516745834,3.334480935,3.869970341,3.472763313
5,47,OB,1,1430,2.662374169,3.53819848,2.831160178,3.762279186,3.544405229,3.878017063,3.614286992
5,47,OB,2,1336,2.673922361,3.664019555,2.865415831,3.7410458,3.644801502,3.932771796,3.607964981
5,48,OB,1,1028,2.524624324,3.517190832,2.716362067,3.453164036,3.358475987,3.812522973,3.445345092
5,48,OB,2,1222,2.689201513,3.51988772,2.7114826,3.482588727,3.450461362,4.009749816,3.449437446
5,49,OB,1,1337,2.560470623,3.480277186,2.778067514,3.533730437,3.420357367,3.824788439,3.481559341
5,49,OB,2,524,3.045139467,4.219498824,2.709477486,4.229531942,3.958349761,4.466802557,4.050834039
5,50,OB,1,1133,2.864732539,3.894307926,2.628513428,4.223084726,3.840562077,4.12239393,3.991039077
5,50,OB,2,589,2.541024303,3.389827067,2.815364011,3.638131306,3.35796387,3.735125552,3.520225581
5,51,OB,1,500,2.892302322,3.916164536,2.692596818,4.026861743,3.805011612,4.192157611,3.866290777
5,51,OB,2,933,2.528788719,3.67897865,2.686785969,3.593384532,3.5082695,3.793562612,3.57703741
5,52,OB,1,398,2.29239075,3.068233789,2.699457487,3.001266954,3.219481046,3.313537779,3.03577905
5,52,OB,2,578,2.114061704,2.724912754,2.644775385,2.714952765,2.917208434,3.011206404,2.826328659
5,53,OB,1,398,2.133096674,2.503920384,2.642049565,2.627327,2.833687773,2.960559473,2.722771841
5,53,OB,2,481,1.841855631,2.469792636,2.594559257,2.478435623,2.596951207,2.583268654,2.630241072
5,54,OB,1,1555,2.660112021,3.759891543,2.774706801,3.688096188,3.612832673,3.954430226,3.596757541
