plate,Id_flow,region,tube_no,n_sampled_cells,mean_autofluo,mean_mitodensity,mean_nucl,mean_size,mean_potential,mean_ros,mean_complexity
5,48,OT,2,3442,3.150909036,4.028427311,2.709264022,4.416766454,3.957231219,4.419422307,4.383654384
5,49,OT,1,3066,3.092470572,3.993993785,2.716874994,4.257717565,3.919491166,4.394917259,4.228014541
5,49,OT,2,2146,3.126651402,4.090508973,2.692211491,4.325655147,3.977488219,4.499823348,4.299591401
5,50,OT,1,8152,3.120039391,3.912828924,2.762887748,4.32885141,3.815031282,4.244604966,4.300423051
5,50,OT,2,6706,3.471446362,2.346587439,2.73748285,4.414868958,2.619798714,2.807194788,4.397516106
5,51,OT,1,2974,3.161105943,4.10297424,2.719461304,4.447126447,4.04024964,4.463411662,4.438099604
5,51,OT,2,3359,3.176658794,4.146715483,2.721780003,4.45507345,4.072584979,4.470048084,4.442763136
5,52,OT,1,4909,3.214605706,4.030072195,2.725262733,4.465599129,3.927829468,4.369034846,4.449827357
5,52,OT,2,3770,3.234543653,4.023757302,2.721558672,4.464322647,3.905541697,4.344548329,4.443007165
5,53,OT,1,3868,3.300238815,2.941428429,2.681460941,4.144176714,3.094623193,3.05202518,4.081140784
5,53,OT,2,2283,3.118087016,3.970506154,2.691294947,4.30563967,3.876069655,4.328696249,4.252447929
5,54,OT,1,4550,3.30029585,2.663257413,2.643891341,4.031024908,2.988055147,3.39805782,3.945422481
5,54,OT,2,3695,3.166202798,4.151901128,2.718777709,4.407972364,3.981791675,4.45691866,4.376321101
5,55,OT,1,1843,3.232360016,4.08762122,2.713787537,4.425486391,3.950169415,4.486288967,4.378546458
5,55,OT,2,7522,3.326459899,3.757318218,2.686606482,4.197366416,3.965926212,3.666447596,4.14764505
5,56,OT,1,3413,3.212714776,2.232711405,2.704260425,3.931034454,2.231524111,2.62086035,3.834629038
5,56,OT,2,1297,3.248833823,3.762237773,2.718177122,4.234874816,3.688111542,4.321674908,4.169264571
6,57,OT,1,10471,3.005677876,3.700435082,2.680283967,4.238862332,3.659815142,4.054951359,4.098469738
6,57,OT,2,4884,3.430307872,2.202151611,2.585151365,4.272315886,2.272378423,2.647167744,4.241882375
6,58,OT,1,5822,3.305073191,2.170977612,2.588270281,4.041349057,2.476300896,2.597417075,3.979146836
6,58,OT,2,3056,3.34766075,1.944970771,2.616096967,4.094452936,2.175373688,2.545823079,4.041862614
6,59,OT,1,11724,3.320261764,1.92543867,2.613182232,4.015800051,2.140450619,2.586670088,3.960540872
6,59,OT,2,17911,3.378950614,1.977744584,2.691639247,4.065495429,2.190774941,2.650957715,4.019120157
6,60,OT,1,14770,3.295214387,1.965428414,2.673269629,4.180478891,2.236491888,2.53449227,4.133723225
6,60,OT,2,11461,3.387738695,2.106963037,2.680690973,4.335612331,2.369628941,2.675404749,4.298882232
6,61,OT,1,11632,3.190612705,3.491138754,2.658303577,4.342194339,3.422536833,4.078129993,4.288674186
6,61,OT,2,4378,3.496612174,1.987811523,2.665531839,4.086381738,2.188254278,2.691195119,4.044690575
6,62,OT,1,5683,3.243764009,2.941148363,2.597797334,3.929668803,2.858044047,3.129172086,3.855323284
6,62,OT,2,3670,3.397134568,3.259453158,2.569356924,4.091558937,2.986857154,3.080420511,4.030533875
6,63,OT,1,10154,3.318647116,2.831665774,2.640597758,4.099610419,2.682658767,2.986676134,4.050131151
6,63,OT,2,3059,3.250140338,3.828481245,2.626436207,4.479459117,3.774412403,4.349418905,4.439724132
6,64,OT,1,10594,3.337937618,3.166020622,2.644433259,4.194296325,3.079583925,3.263985745,4.13755524
6,64,OT,2,6732,3.226582002,3.355047088,2.632080147,4.243024903,3.609906376,3.616536894,4.190837998
6,65,OT,1,6916,3.395243149,2.18587875,2.620305636,4.233323457,2.37568872,2.707361828,4.23258931
6,65,OT,2,9337,3.331290184,2.097729838,2.63535284,4.164600315,2.576690645,2.756252145,4.153554466
6,66,OT,1,5828,3.439363752,3.416502643,2.595242557,4.256110644,3.29671128,3.474117745,4.160642495
6,66,OT,2,6116,3.386629389,1.981563352,2.647010732,4.23473604,2.278757174,2.597131061,4.148887425
6,67,OT,1,12353,3.445446407,2.096783217,2.653707988,4.154168131,2.242514996,2.729770522,4.065159577
6,67,OT,2,10420,3.47950473,2.076713127,2.653803416,4.157039189,2.221846653,2.734843406,4.07712768
6,68,OT,1,5591,3.329680944,2.10827108,2.624561311,4.181566348,2.28553408,2.635226246,4.106144614
6,68,OT,2,3082,3.467099643,2.107584904,2.618983981,4.356167381,2.32851955,2.69522717,4.291052303
7,69,OT,1,11294,3.562016696,2.382393355,2.727229244,4.47899751,2.58690995,2.833375651,4.488908204
7,69,OT,2,5611,3.317447016,3.438169044,2.659670177,4.127688306,3.481618253,3.253285523,4.103452634
7,70,OT,1,3969,3.487395711,3.874706454,2.654130037,4.264570748,3.732222131,3.478271548,4.248309403
7,70,OT,2,2447,3.529998798,2.448131544,2.65379011,4.311142548,2.487895829,2.775929456,4.3048203
7,71,OT,1,4190,3.445634743,3.9004435,2.648879898,4.35781354,3.870446589,4.244511575,4.323613741
7,71,OT,2,5978,3.385704409,2.509704136,2.667001753,4.239907212,2.684716616,2.7921281,4.199871218
7,72,OT,1,3834,3.535349195,2.332225963,2.67456183,4.251109138,2.58242429,2.88515576,4.206405489
7,72,OT,2,5238,3.558121742,2.192434187,2.691630942,4.274871513,2.377822359,2.776480497,4.254139893
7,73,OT,1,1106,3.286273696,3.930459402,2.639815641,4.435433228,4.001372579,4.408606521,4.45526634
7,73,OT,2,2736,3.524264056,2.212610201,2.661755097,4.316038813,2.494117886,2.782140061,4.345060607
7,74,OT,1,1281,3.636893767,2.342380798,2.74470181,4.401127389,2.555625196,2.90468866,4.394857456
7,74,OT,2,4385,3.408956663,2.260004136,2.640442321,4.058510132,2.538314499,2.698637161,4.032576549
7,75,OT,1,1826,3.375438728,4.234519718,2.65876528,4.577587693,4.262982162,4.671756877,4.565241689
7,75,OT,2,7092,3.484523055,2.452857696,2.685051543,4.334538043,2.615562049,2.826841053,4.321388097
7,76,OT,1,4793,3.361246731,3.964829478,2.68344683,4.555798474,4.03454674,4.460506583,4.523517369
7,76,OT,2,3954,3.394965595,3.76166954,2.701090145,4.566500084,3.946074624,4.260985937,4.530668223
7,77,OT,1,4476,3.57246031,2.422696778,2.655352192,4.46300811,2.644120844,2.883973839,4.490281402
7,77,OT,2,6770,3.516507964,2.362831047,2.664532896,4.350712395,2.727317633,2.838728671,4.365213744
7,78,OT,1,4992,3.517570638,2.347703466,2.676390958,3.990824486,2.389837298,2.806255396,3.956792214
7,78,OT,2,5509,3.505519117,3.122221375,2.650456233,3.942872183,3.432584724,3.456768442,3.90521488
7,79,OT,1,6742,3.299770341,3.611519893,2.706349532,4.510763183,3.937764182,4.048595727,4.495514259
7,79,OT,2,7636,3.383617989,3.435783988,2.677832924,4.381223873,3.66475075,3.713002045,4.353939916
7,80,OT,1,5828,3.3723585,3.520896135,2.704491635,4.191013371,3.652973753,3.317367705,4.135803277
7,80,OT,2,7080,3.050408432,3.721818028,2.72252593,4.212559844,3.7487354,3.980902227,4.162179783
